ID_Venta,Fecha,Producto,Categoria,Region,Vendedor,Precio_Unitario,Cantidad,Descuento_%,Total
V-023125,2024-01-01,Teclado Mecanico,Perifericos,Sur,Luis Hernandez,1251.3,5,10,5630.85
V-016178,2024-01-01,Disco SSD 1TB,Electronica,Sur,Luis Hernandez,918.43,3,0,2755.29
V-028623,2024-01-01,Webcam HD,Electronica,Oeste,Valentina Ortiz,1622.47,3,10,4380.67
V-031924,2024-01-01,Auriculares Bluetooth,Electronica,Centro,Pedro Sanchez,1130.27,1,0,1130.27
V-020638,2024-01-01,Disco SSD 1TB,Electronica,Norte,Carlos Lopez,1083.79,4,0,4335.16
V-005452,2024-01-01,Hub USB-C,Perifericos,Este,Diego Flores,542.41,2,0,1084.82
V-026426,2024-01-01,Laptop Gamer,Electronica,Sur,Luis Hernandez,17530.64,5,10,78887.88
V-036528,2024-01-01,Monitor 27',Electronica,Sur,Ana Martinez,5174.88,4,0,20699.52
V-020440,2024-01-01,Laptop Gamer,Electronica,Norte,Maria Garcia,14353.93,3,0,43061.79
V-033827,2024-01-01,Silla Ergononica,Muebles,Oeste,Miguel Angel,5315.41,2,0,10630.82
V-030344,2024-01-01,Silla Ergononica,Muebles,Sur,Luis Hernandez,4398.12,1,5,4178.21
V-021065,2024-01-01,Tablet,Electronica,Oeste,Miguel Angel,3957.45,4,10,14246.82
V-021252,2024-01-01,Laptop Gamer,Electronica,Norte,Carlos Lopez,12025.66,5,0,60128.3
V-017214,2024-01-01,Disco SSD 1TB,Electronica,Este,Diego Flores,1629.68,3,0,4889.04
V-038100,2024-01-01,Smartphone,Electronica,Este,Diego Flores,8348.99,3,0,25046.97
V-030699,2024-01-01,Tablet,Electronica,Este,Laura Torres,5558.14,4,0,22232.56
V-041376,2024-01-01,Hub USB-C,Perifericos,Sur,Ana Martinez,606.5,2,0,1213.0
V-001259,2024-01-01,Impresora,Oficina,Norte,Maria Garcia,2028.49,7,10,12779.49
V-034948,2024-01-01,Auriculares Bluetooth,Electronica,Sur,Luis Hernandez,648.55,1,0,648.55
V-043852,2024-01-01,Laptop Gamer,Electronica,Norte,Maria Garcia,16264.93,1,5,15451.68
V-000165,2024-01-01,Lampara LED,Oficina,Sur,Ana Martinez,455.14,2,0,910.28
V-032596,2024-01-01,Router WiFi,Electronica,Este,Diego Flores,1445.01,2,0,2890.02
V-020738,2024-01-01,Teclado Mecanico,Perifericos,Centro,Sofia Ramirez,1281.17,1,5,1217.11
V-005578,2024-01-01,Webcam HD,Electronica,Centro,Pedro Sanchez,1593.23,2,0,3186.46
V-035346,2024-01-01,Monitor 27',Electronica,Este,Laura Torres,2952.04,4,0,11808.16
V-002221,2024-01-01,Escritorio,Muebles,Sur,Ana Martinez,3413.57,1,5,3242.89
V-020762,2024-01-01,Tablet,Electronica,Norte,Maria Garcia,5696.1,3,5,16233.89
V-032637,2024-01-01,Router WiFi,Electronica,Sur,Luis Hernandez,1647.42,4,0,6589.68
V-040798,2024-01-01,Webcam HD,Electronica,Sur,Ana Martinez,855.96,3,0,2567.88
V-021891,2024-01-01,Monitor 27',Electronica,Norte,Carlos Lopez,4732.21,4,0,18928.84
V-030194,2024-01-01,Lampara LED,Oficina,Sur,Luis Hernandez,391.15,6,10,2112.21
V-012012,2024-01-01,Tablet,Electronica,Sur,Luis Hernandez,5506.86,1,5,5231.52
V-042711,2024-01-01,Hub USB-C,Perifericos,Este,Laura Torres,504.99,7,10,3181.44
V-036113,2024-01-01,Lampara LED,Oficina,Norte,Maria Garcia,309.12,2,0,618.24
V-029476,2024-01-01,Impresora,Oficina,Centro,Pedro Sanchez,3486.59,2,0,6973.18
V-008367,2024-01-01,Auriculares Bluetooth,Electronica,Norte,Maria Garcia,1139.21,2,5,2164.5
V-015457,2024-01-01,Disco SSD 1TB,Electronica,Este,Diego Flores,1684.33,3,10,4547.69
V-023119,2024-01-02,Escritorio,Muebles,Centro,Sofia Ramirez,2700.71,1,0,2700.71
V-028047,2024-01-02,Silla Ergononica,Muebles,Sur,Ana Martinez,5993.25,2,10,10787.85
V-009254,2024-01-02,Escritorio,Muebles,Sur,Ana Martinez,1841.1,3,10,4970.97
V-020780,2024-01-02,Disco SSD 1TB,Electronica,Sur,Ana Martinez,1678.84,5,15,7135.07
V-036409,2024-01-02,Mouse Gaming,Perifericos,Norte,Carlos Lopez,596.74,5,10,2685.33
V-028614,2024-01-02,Tablet,Electronica,Centro,Pedro Sanchez,3410.34,3,0,10231.02
V-030866,2024-01-02,Mouse Gaming,Perifericos,Norte,Maria Garcia,672.53,4,0,2690.12
V-028207,2024-01-02,Monitor 27',Electronica,Centro,Pedro Sanchez,3770.76,3,10,10181.05
V-003025,2024-01-02,Lampara LED,Oficina,Este,Diego Flores,266.65,1,0,266.65
V-036428,2024-01-02,Auriculares Bluetooth,Electronica,Oeste,Valentina Ortiz,1197.68,4,5,4551.18
V-019739,2024-01-02,Silla Ergononica,Muebles,Oeste,Valentina Ortiz,6167.45,1,0,6167.45
V-032800,2024-01-02,Tablet,Electronica,Centro,Sofia Ramirez,5426.25,2,5,10309.88
V-015090,2024-01-02,Laptop Gamer,Electronica,Oeste,Valentina Ortiz,13918.84,4,5,52891.59
V-044808,2024-01-02,Silla Ergononica,Muebles,Este,Diego Flores,4348.66,4,5,16524.91
V-030286,2024-01-02,Auriculares Bluetooth,Electronica,Sur,Ana Martinez,434.7,2,5,825.93
V-042572,2024-01-02,Escritorio,Muebles,Este,Laura Torres,3652.12,2,0,7304.24
V-016914,2024-01-02,Laptop Gamer,Electronica,Este,Laura Torres,15110.17,4,10,54396.61
V-031985,2024-01-02,Webcam HD,Electronica,Norte,Maria Garcia,753.22,1,0,753.22
V-018217,2024-01-02,Tablet,Electronica,Sur,Ana Martinez,5004.18,3,0,15012.54
V-030860,2024-01-02,Laptop Gamer,Electronica,Centro,Pedro Sanchez,13343.98,4,10,48038.33
V-011069,2024-01-02,Monitor 27',Electronica,Norte,Carlos Lopez,4460.2,1,0,4460.2
V-013171,2024-01-02,Monitor 27',Electronica,Norte,Carlos Lopez,2830.24,4,10,10188.86
V-012240,2024-01-02,Auriculares Bluetooth,Electronica,Oeste,Miguel Angel,1028.78,4,5,3909.36
V-016870,2024-01-02,Webcam HD,Electronica,Sur,Ana Martinez,1550.94,1,10,1395.85
V-027301,2024-01-02,Auriculares Bluetooth,Electronica,Este,Laura Torres,584.53,1,5,555.3
V-002014,2024-01-02,Laptop Gamer,Electronica,Sur,Ana Martinez,16471.2,2,0,32942.4
V-028708,2024-01-02,Escritorio,Muebles,Oeste,Valentina Ortiz,3725.3,2,0,7450.6
V-021236,2024-01-02,Laptop Gamer,Electronica,Sur,Luis Hernandez,14729.18,2,10,26512.52
V-026765,2024-01-02,Escritorio,Muebles,Centro,Pedro Sanchez,2025.96,2,0,4051.92
V-015061,2024-01-02,Hub USB-C,Perifericos,Oeste,Miguel Angel,391.87,2,5,744.55
V-013536,2024-01-02,Auriculares Bluetooth,Electronica,Centro,Pedro Sanchez,553.31,2,5,1051.29
V-003278,2024-01-02,Disco SSD 1TB,Electronica,Oeste,Miguel Angel,1217.28,4,5,4625.66
V-024390,2024-01-02,Laptop Gamer,Electronica,Norte,Carlos Lopez,16040.34,2,5,30476.65
V-028970,2024-01-02,Webcam HD,Electronica,Este,Diego Flores,782.62,2,0,1565.24
V-018761,2024-01-02,Mouse Gaming,Perifericos,Oeste,Miguel Angel,754.14,4,5,2865.73
V-025982,2024-01-02,Mouse Gaming,Perifericos,Este,Laura Torres,371.11,2,0,742.22
V-040110,2024-01-02,Hub USB-C,Perifericos,Sur,Luis Hernandez,673.13,4,5,2557.89
V-028162,2024-01-02,Lampara LED,Oficina,Centro,Pedro Sanchez,368.23,4,0,1472.92
V-028802,2024-01-02,Router WiFi,Electronica,Norte,Maria Garcia,1215.21,2,5,2308.9
V-018440,2024-01-02,Monitor 27',Electronica,Sur,Luis Hernandez,3607.8,4,0,14431.2
V-000496,2024-01-02,Escritorio,Muebles,Este,Diego Flores,2796.34,3,0,8389.02
V-005119,2024-01-02,Disco SSD 1TB,Electronica,Oeste,Miguel Angel,1348.52,3,10,3641.0
V-027181,2024-01-02,Webcam HD,Electronica,Sur,Luis Hernandez,1525.72,4,5,5797.74
V-020500,2024-01-02,Laptop Gamer,Electronica,Oeste,Valentina Ortiz,16809.06,4,0,67236.24
V-011469,2024-01-02,Smartphone,Electronica,Este,Diego Flores,6578.6,2,10,11841.48
V-015189,2024-01-02,Smartphone,Electronica,Sur,Luis Hernandez,7374.95,2,0,14749.9
V-003654,2024-01-02,Escritorio,Muebles,Centro,Sofia Ramirez,3080.8,4,10,11090.88
V-028498,2024-01-02,Hub USB-C,Perifericos,Oeste,Miguel Angel,540.92,5,15,2298.91
V-033920,2024-01-02,Lampara LED,Oficina,Este,Laura Torres,421.77,4,0,1687.08
V-039949,2024-01-02,Silla Ergononica,Muebles,Este,Diego Flores,5549.1,1,5,5271.64
V-029202,2024-01-02,Router WiFi,Electronica,Este,Laura Torres,1622.87,2,5,3083.45
V-040297,2024-01-02,Impresora,Oficina,Este,Diego Flores,1581.96,5,15,6723.33
V-030997,2024-01-02,Laptop Gamer,Electronica,Sur,Ana Martinez,16524.42,3,5,47094.6
V-038437,2024-01-02,Hub USB-C,Perifericos,Norte,Carlos Lopez,668.05,6,10,3607.47
V-027518,2024-01-02,Teclado Mecanico,Perifericos,Sur,Luis Hernandez,1159.7,3,10,3131.19
V-004421,2024-01-02,Auriculares Bluetooth,Electronica,Centro,Sofia Ramirez,813.52,3,5,2318.53
V-007861,2024-01-02,Router WiFi,Electronica,Oeste,Miguel Angel,1428.15,8,10,10282.68
V-018079,2024-01-02,Laptop Gamer,Electronica,Oeste,Miguel Angel,15174.08,2,5,28830.75
V-034586,2024-01-02,Mouse Gaming,Perifericos,Sur,Ana Martinez,660.28,4,10,2377.01
V-029127,2024-01-02,Lampara LED,Oficina,Centro,Pedro Sanchez,236.12,3,0,708.36
V-039503,2024-01-02,Mouse Gaming,Perifericos,Sur,Luis Hernandez,433.81,3,0,1301.43
V-000414,2024-01-02,Silla Ergononica,Muebles,Sur,Ana Martinez,4045.48,3,5,11529.62
V-010167,2024-01-02,Monitor 27',Electronica,Oeste,Valentina Ortiz,4923.41,1,5,4677.24
V-019901,2024-01-02,Laptop Gamer,Electronica,Este,Laura Torres,14915.86,2,5,28340.13
V-017734,2024-01-02,Hub USB-C,Perifericos,Norte,Carlos Lopez,693.81,8,5,5272.96
V-044794,2024-01-02,Impresora,Oficina,Centro,Pedro Sanchez,1586.03,3,5,4520.19
V-002433,2024-01-02,Teclado Mecanico,Perifericos,Sur,Luis Hernandez,1146.93,3,0,3440.79
V-030959,2024-01-02,Laptop Gamer,Electronica,Sur,Ana Martinez,12992.75,3,0,38978.25
V-020871,2024-01-02,Mouse Gaming,Perifericos,Oeste,Valentina Ortiz,640.99,2,0,1281.98
V-040065,2024-01-02,Router WiFi,Electronica,Este,Diego Flores,1274.5,1,5,1210.77
V-038782,2024-01-02,Teclado Mecanico,Perifericos,Centro,Sofia Ramirez,707.07,1,0,707.07
V-022135,2024-01-02,Silla Ergononica,Muebles,Este,Laura Torres,5798.78,3,5,16526.52
V-001424,2024-01-02,Auriculares Bluetooth,Electronica,Este,Diego Flores,896.91,3,0,2690.73
V-014913,2024-01-02,Tablet,Electronica,Centro,Sofia Ramirez,5168.52,3,5,14730.28
V-009150,2024-01-02,Smartphone,Electronica,Sur,Ana Martinez,8260.04,2,5,15694.08
V-010183,2024-01-02,Hub USB-C,Perifericos,Norte,Maria Garcia,504.84,4,0,2019.36
V-043057,2024-01-02,Lampara LED,Oficina,Norte,Maria Garcia,207.58,2,10,373.64
V-005226,2024-01-02,Escritorio,Muebles,Centro,Sofia Ramirez,2850.61,1,5,2708.08
V-001962,2024-01-02,Teclado Mecanico,Perifericos,Sur,Luis Hernandez,1155.18,3,5,3292.26
V-033902,2024-01-02,Smartphone,Electronica,Oeste,Miguel Angel,8327.64,2,0,16655.28
V-023693,2024-01-03,Webcam HD,Electronica,Oeste,Miguel Angel,984.92,2,5,1871.35
V-006818,2024-01-03,Escritorio,Muebles,Este,Diego Flores,2053.18,1,0,2053.18
V-013890,2024-01-03,Silla Ergononica,Muebles,Norte,Carlos Lopez,5246.6,4,0,20986.4
V-018511,2024-01-03,Teclado Mecanico,Perifericos,Centro,Sofia Ramirez,774.07,3,5,2206.1
V-032820,2024-01-03,Tablet,Electronica,Oeste,Valentina Ortiz,2639.32,2,10,4750.78
V-041875,2024-01-03,Impresora,Oficina,Oeste,Miguel Angel,3220.82,4,0,12883.28
V-025516,2024-01-03,Auriculares Bluetooth,Electronica,Centro,Sofia Ramirez,513.79,3,10,1387.23
V-026709,2024-01-03,Webcam HD,Electronica,Oeste,Valentina Ortiz,640.28,3,5,1824.8
V-000191,2024-01-03,Hub USB-C,Perifericos,Sur,Ana Martinez,404.09,2,0,808.18
V-020648,2024-01-03,Smartphone,Electronica,Este,Diego Flores,4788.73,2,5,9098.59
V-023589,2024-01-03,Laptop Gamer,Electronica,Este,Laura Torres,15657.55,3,0,46972.65
V-006791,2024-01-03,Router WiFi,Electronica,Sur,Luis Hernandez,1952.7,4,0,7810.8
V-035225,2024-01-03,Smartphone,Electronica,Este,Laura Torres,5697.19,3,0,17091.57
V-026621,2024-01-03,Monitor 27',Electronica,Sur,Luis Hernandez,2864.6,1,0,2864.6
V-038839,2024-01-03,Router WiFi,Electronica,Centro,Pedro Sanchez,914.31,3,5,2605.78
V-004962,2024-01-03,Teclado Mecanico,Perifericos,Este,Laura Torres,794.53,7,10,5005.54
V-032917,2024-01-03,Tablet,Electronica,Sur,Luis Hernandez,5902.87,2,5,11215.45
V-029553,2024-01-03,Disco SSD 1TB,Electronica,Sur,Ana Martinez,1545.22,4,5,5871.84
V-021259,2024-01-03,Laptop Gamer,Electronica,Centro,Sofia Ramirez,13955.9,6,5,79548.63
V-037527,2024-01-03,Tablet,Electronica,Norte,Maria Garcia,3090.39,3,10,8344.05
V-005867,2024-01-03,Escritorio,Muebles,Oeste,Miguel Angel,3858.48,1,0,3858.48
V-017033,2024-01-03,Silla Ergononica,Muebles,Norte,Maria Garcia,6346.67,3,0,19040.01
V-036891,2024-01-03,Monitor 27',Electronica,Este,Diego Flores,4463.07,2,10,8033.53
V-040260,2024-01-03,Mouse Gaming,Perifericos,Oeste,Miguel Angel,492.04,4,0,1968.16
V-007516,2024-01-03,Teclado Mecanico,Perifericos,Este,Laura Torres,1176.25,3,0,3528.75
V-039455,2024-01-03,Lampara LED,Oficina,Este,Diego Flores,319.95,4,0,1279.8
V-020334,2024-01-03,Mouse Gaming,Perifericos,Centro,Pedro Sanchez,669.79,5,15,2846.61
V-021868,2024-01-03,Impresora,Oficina,Este,Laura Torres,2702.24,4,5,10268.51
V-040171,2024-01-03,Escritorio,Muebles,Norte,Carlos Lopez,3204.87,3,10,8653.15
V-035711,2024-01-03,Lampara LED,Oficina,Sur,Luis Hernandez,406.35,4,0,1625.4
V-038236,2024-01-03,Auriculares Bluetooth,Electronica,Oeste,Valentina Ortiz,942.08,2,5,1789.95
V-040724,2024-01-03,Mouse Gaming,Perifericos,Sur,Ana Martinez,664.4,5,10,2989.8
V-016565,2024-01-03,Auriculares Bluetooth,Electronica,Sur,Luis Hernandez,510.89,2,0,1021.78
V-005224,2024-01-03,Silla Ergononica,Muebles,Norte,Maria Garcia,4241.14,4,10,15268.1
V-011946,2024-01-03,Mouse Gaming,Perifericos,Sur,Ana Martinez,614.21,2,10,1105.58
V-002820,2024-01-03,Smartphone,Electronica,Oeste,Miguel Angel,3976.05,3,0,11928.15
V-016590,2024-01-03,Auriculares Bluetooth,Electronica,Sur,Luis Hernandez,758.13,3,5,2160.67
V-039574,2024-01-03,Webcam HD,Electronica,Oeste,Miguel Angel,1350.82,7,15,8037.38
V-010859,2024-01-03,Mouse Gaming,Perifericos,Sur,Luis Hernandez,291.57,3,0,874.71
V-028577,2024-01-03,Smartphone,Electronica,Sur,Luis Hernandez,7934.71,1,0,7934.71
V-021646,2024-01-03,Webcam HD,Electronica,Centro,Pedro Sanchez,1304.37,1,0,1304.37
V-030472,2024-01-03,Monitor 27',Electronica,Centro,Pedro Sanchez,4038.36,6,0,24230.16
V-043497,2024-01-03,Smartphone,Electronica,Centro,Pedro Sanchez,8345.42,5,15,35468.03
V-017325,2024-01-03,Router WiFi,Electronica,Oeste,Miguel Angel,1879.09,4,0,7516.36
V-036271,2024-01-03,Webcam HD,Electronica,Centro,Sofia Ramirez,764.58,4,0,3058.32
V-012594,2024-01-03,Router WiFi,Electronica,Sur,Ana Martinez,1074.0,3,0,3222.0
V-012043,2024-01-03,Laptop Gamer,Electronica,Centro,Sofia Ramirez,12530.04,4,0,50120.16
V-037096,2024-01-03,Laptop Gamer,Electronica,Centro,Sofia Ramirez,13855.1,2,0,27710.2
V-010029,2024-01-03,Laptop Gamer,Electronica,Este,Laura Torres,16127.03,5,15,68539.88
V-022545,2024-01-03,Router WiFi,Electronica,Centro,Pedro Sanchez,1488.46,2,5,2828.07
V-033636,2024-01-03,Escritorio,Muebles,Oeste,Valentina Ortiz,3345.94,3,0,10037.82
V-024962,2024-01-03,Router WiFi,Electronica,Oeste,Valentina Ortiz,1794.49,3,5,5114.3
V-014692,2024-01-03,Escritorio,Muebles,Oeste,Valentina Ortiz,1968.49,2,0,3936.98
V-007037,2024-01-03,Teclado Mecanico,Perifericos,Sur,Luis Hernandez,1356.94,3,5,3867.28
V-021006,2024-01-03,Lampara LED,Oficina,Sur,Luis Hernandez,414.85,1,5,394.11
V-008606,2024-01-03,Lampara LED,Oficina,Norte,Maria Garcia,387.67,4,0,1550.68
V-005249,2024-01-03,Teclado Mecanico,Perifericos,Sur,Ana Martinez,569.23,2,10,1024.61
V-030000,2024-01-03,Hub USB-C,Perifericos,Sur,Ana Martinez,466.35,2,5,886.06
V-003745,2024-01-03,Silla Ergononica,Muebles,Oeste,Miguel Angel,5630.04,3,5,16045.61
V-031596,2024-01-03,Impresora,Oficina,Sur,Luis Hernandez,2356.73,3,5,6716.68
V-000145,2024-01-03,Hub USB-C,Perifericos,Oeste,Miguel Angel,383.67,2,10,690.61
V-002036,2024-01-03,Lampara LED,Oficina,Norte,Maria Garcia,456.35,4,0,1825.4
V-040397,2024-01-03,Router WiFi,Electronica,Oeste,Miguel Angel,1533.54,3,10,4140.56
V-006755,2024-01-03,Laptop Gamer,Electronica,Oeste,Miguel Angel,15992.47,3,5,45578.54
V-031267,2024-01-03,Mouse Gaming,Perifericos,Centro,Pedro Sanchez,616.23,3,10,1663.82
V-043633,2024-01-03,Mouse Gaming,Perifericos,Este,Laura Torres,574.31,3,5,1636.78
V-041467,2024-01-03,Router WiFi,Electronica,Este,Diego Flores,1052.05,2,0,2104.1
V-019303,2024-01-03,Router WiFi,Electronica,Centro,Sofia Ramirez,1528.89,4,0,6115.56
V-042233,2024-01-03,Hub USB-C,Perifericos,Centro,Sofia Ramirez,551.41,6,10,2977.61
V-032343,2024-01-03,Router WiFi,Electronica,Centro,Sofia Ramirez,1821.85,1,0,1821.85
V-024456,2024-01-03,Disco SSD 1TB,Electronica,Norte,Maria Garcia,1573.16,1,10,1415.84
V-021900,2024-01-03,Escritorio,Muebles,Oeste,Miguel Angel,2310.31,3,10,6237.84
V-006495,2024-01-03,Webcam HD,Electronica,Sur,Ana Martinez,800.5,2,0,1601.0
V-038561,2024-01-03,Teclado Mecanico,Perifericos,Norte,Carlos Lopez,927.02,3,5,2642.01
V-015358,2024-01-03,Mouse Gaming,Perifericos,Sur,Luis Hernandez,451.84,3,0,1355.52
V-037077,2024-01-03,Mouse Gaming,Perifericos,Oeste,Valentina Ortiz,765.23,4,5,2907.87
V-037413,2024-01-03,Smartphone,Electronica,Oeste,Valentina Ortiz,6822.93,2,5,12963.57
V-009532,2024-01-04,Auriculares Bluetooth,Electronica,Sur,Luis Hernandez,904.38,2,5,1718.32
V-016891,2024-01-04,Silla Ergononica,Muebles,Oeste,Valentina Ortiz,6719.68,2,5,12767.39
V-015245,2024-01-04,Monitor 27',Electronica,Este,Laura Torres,4514.95,3,5,12867.61
V-044505,2024-01-04,Disco SSD 1TB,Electronica,Norte,Maria Garcia,1378.09,5,15,5856.88
V-035901,2024-01-04,Hub USB-C,Perifericos,Centro,Sofia Ramirez,621.67,6,0,3730.02
V-024637,2024-01-04,Tablet,Electronica,Norte,Maria Garcia,5113.78,5,5,24290.46
V-035872,2024-01-04,Tablet,Electronica,Norte,Maria Garcia,4016.06,4,0,16064.24
V-023068,2024-01-04,Monitor 27',Electronica,Sur,Ana Martinez,3854.73,2,0,7709.46
V-003634,2024-01-04,Hub USB-C,Perifericos,Norte,Maria Garcia,623.8,3,10,1684.26
V-023666,2024-01-04,Tablet,Electronica,Este,Laura Torres,5671.87,2,0,11343.74
V-030082,2024-01-04,Auriculares Bluetooth,Electronica,Este,Laura Torres,863.54,4,5,3281.45
V-034662,2024-01-04,Lampara LED,Oficina,Norte,Carlos Lopez,339.33,3,0,1017.99
V-012432,2024-01-04,Webcam HD,Electronica,Centro,Pedro Sanchez,1758.69,1,0,1758.69
V-024513,2024-01-04,Tablet,Electronica,Oeste,Valentina Ortiz,4794.83,3,5,13665.27
V-031228,2024-01-04,Disco SSD 1TB,Electronica,Este,Laura Torres,1676.25,2,0,3352.5
V-041316,2024-01-04,Router WiFi,Electronica,Centro,Sofia Ramirez,1103.75,4,10,3973.5
V-023229,2024-01-04,Impresora,Oficina,Este,Diego Flores,3055.91,6,10,16501.91
V-025337,2024-01-04,Teclado Mecanico,Perifericos,Norte,Maria Garcia,1049.75,4,0,4199.0
V-000464,2024-01-04,Webcam HD,Electronica,Norte,Maria Garcia,856.25,3,0,2568.75
V-027192,2024-01-04,Laptop Gamer,Electronica,Norte,Carlos Lopez,16746.47,2,0,33492.94
V-008426,2024-01-04,Tablet,Electronica,Este,Diego Flores,2551.83,2,10,4593.29
V-039378,2024-01-04,Laptop Gamer,Electronica,Este,Diego Flores,14740.84,3,0,44222.52
V-015184,2024-01-04,Teclado Mecanico,Perifericos,Centro,Pedro Sanchez,921.75,2,0,1843.5
V-011388,2024-01-04,Monitor 27',Electronica,Norte,Carlos Lopez,4205.35,3,0,12616.05
V-042145,2024-01-04,Webcam HD,Electronica,Este,Laura Torres,1491.27,4,0,5965.08
V-001762,2024-01-04,Lampara LED,Oficina,Centro,Pedro Sanchez,290.66,2,0,581.32
V-044359,2024-01-04,Router WiFi,Electronica,Este,Laura Torres,1601.99,1,0,1601.99
V-040147,2024-01-04,Auriculares Bluetooth,Electronica,Centro,Pedro Sanchez,673.52,3,0,2020.56
V-021403,2024-01-04,Smartphone,Electronica,Norte,Maria Garcia,4677.72,3,0,14033.16
V-043389,2024-01-04,Disco SSD 1TB,Electronica,Norte,Maria Garcia,1605.82,4,0,6423.28
V-026618,2024-01-04,Smartphone,Electronica,Norte,Carlos Lopez,5200.87,4,5,19763.31
V-034426,2024-01-04,Silla Ergononica,Muebles,Centro,Pedro Sanchez,4901.76,3,5,13970.02
V-005875,2024-01-04,Router WiFi,Electronica,Centro,Sofia Ramirez,1809.0,6,5,10311.3
V-010928,2024-01-04,Teclado Mecanico,Perifericos,Centro,Pedro Sanchez,632.38,3,5,1802.28
V-017605,2024-01-04,Impresora,Oficina,Centro,Pedro Sanchez,1664.36,5,5,7905.71
V-016019,2024-01-04,Disco SSD 1TB,Electronica,Centro,Pedro Sanchez,1317.34,2,5,2502.95
V-041803,2024-01-04,Teclado Mecanico,Perifericos,Sur,Ana Martinez,919.06,5,5,4365.53
V-003605,2024-01-04,Laptop Gamer,Electronica,Este,Diego Flores,17901.92,4,0,71607.68
V-034498,2024-01-04,Tablet,Electronica,Centro,Pedro Sanchez,5721.13,3,10,15447.05
V-030687,2024-01-04,Lampara LED,Oficina,Este,Diego Flores,312.62,4,0,1250.48
V-004298,2024-01-04,Monitor 27',Electronica,Sur,Ana Martinez,3803.87,4,0,15215.48
V-044132,2024-01-04,Monitor 27',Electronica,Sur,Ana Martinez,3884.55,2,5,7380.64
V-015720,2024-01-04,Monitor 27',Electronica,Centro,Pedro Sanchez,5187.03,2,0,10374.06
V-040568,2024-01-04,Monitor 27',Electronica,Centro,Pedro Sanchez,2854.13,1,5,2711.42
V-010054,2024-01-04,Mouse Gaming,Perifericos,Oeste,Miguel Angel,603.17,3,0,1809.51
V-025711,2024-01-04,Escritorio,Muebles,Oeste,Valentina Ortiz,3612.13,2,10,6501.83
V-017582,2024-01-04,Laptop Gamer,Electronica,Norte,Carlos Lopez,14957.02,1,0,14957.02
V-033221,2024-01-04,Disco SSD 1TB,Electronica,Este,Laura Torres,1247.05,3,5,3554.09
V-037451,2024-01-04,Laptop Gamer,Electronica,Oeste,Valentina Ortiz,15088.59,1,0,15088.59
V-008461,2024-01-04,Impresora,Oficina,Este,Laura Torres,3197.02,4,0,12788.08
V-010143,2024-01-04,Impresora,Oficina,Centro,Pedro Sanchez,3014.06,3,0,9042.18
V-042582,2024-01-04,Smartphone,Electronica,Sur,Ana Martinez,8080.5,2,0,16161.0
V-038082,2024-01-04,Router WiFi,Electronica,Centro,Pedro Sanchez,1787.65,1,0,1787.65
